company_id,name,registration_year,industry_type,address,fraud_label
COMP_0000,Venture Systems Ltd.,2018,Transportation,"251 Oak St, City 23434",0
COMP_0001,Venture Labs Ltd.,2013,Telecommunications,"33 Main St, City 38657",0
COMP_0002,Prime Labs Ltd.,2012,Manufacturing,"734 Central St, Town 38893",0
COMP_0003,Apex Holdings Ltd.,2019,Healthcare,"715 Park St, Town 46421",1
COMP_0004,Smart Group corp.,2021,IT Services,"6 Dummy Street, Shell City 00000",1
COMP_0005,Quantum Holdings Ltd.,2018,Engineering,"550 Main St, Town 20328",1
COMP_0006,Nexus Holdings corp.,2013,Manufacturing,"722 Main St, City 96673",0
COMP_0007,Prime Holdings Ltd.,2022,Manufacturing,"888 Main St, Town 46434",1
COMP_0008,Apex Enterprises Inc.,2006,Energy,"215 Elm St, Village 99593",0
COMP_0009,Venture Systems Inc.,2012,Finance,"251 Oak St, Town 59735",0
COMP_0010,Elite Labs Inc.,2016,Energy,"864 Main St, City 14207",0
COMP_0011,Forward Industries corp.,1997,Manufacturing,"936 Central St, Village 51245",0
COMP_0012,Prime Ventures LLC,2023,Architecture,"470 Oak St, Town 28301",0
COMP_0013,Prime Labs corp.,2018,Security Services,"439 Central St, Town 57447",1
COMP_0014,Prime Services LLC,1997,Construction,"882 Main St, City 92240",0
COMP_0015,Smart Industries Ltd.,2007,Telecommunications,"611 Park St, Village 42953",1
COMP_0016,Nexus Solutions Ltd.,2016,Consulting,"769 Elm St, Village 54587",0
COMP_0017,Global Holdings LLC,2000,Engineering,"4 Elm St, Village 33416",1
COMP_0018,Nexus Systems corp.,2021,Architecture,"520 Central St, City 30032",1
COMP_0019,Forward Services Ltd.,2014,Energy,"501 Main St, City 57576",1
COMP_0020,Elite Group Ltd.,2002,Security Services,"970 Main St, City 73699",0
COMP_0021,Global Labs Inc.,1999,Architecture,"487 Central St, City 44741",0
COMP_0022,Nexus Industries Inc.,2012,Finance,"707 Oak St, Village 50857",0
COMP_0023,Dynamic Enterprises LLC,2023,Consulting,"463 Main St, City 39451",0
COMP_0024,Global Enterprises Ltd.,2013,Consulting,"236 Central St, City 10942",0
COMP_0025,Global Solutions Inc.,1997,Construction,"881 Elm St, City 77391",0
COMP_0026,Prime Holdings LLC,2001,Consulting,"136 Central St, Village 71953",1
COMP_0027,Prime Ventures LLC,2019,IT Services,"5 Dummy Street, Shell City 00000",1
COMP_0028,Dynamic Ventures Ltd.,2016,Architecture,"662 Main St, City 62772",0
COMP_0029,Summit Enterprises Ltd.,2002,Manufacturing,"195 Central St, Town 28373",0
COMP_0030,Dynamic Services corp.,2009,Manufacturing,"896 Main St, Town 82132",0
COMP_0031,Global Solutions Ltd.,2019,Manufacturing,"5 Dummy Street, Shell City 00000",1
COMP_0032,Prime Industries Ltd.,2000,Telecommunications,"3 Park St, Town 69638",0
COMP_0033,Elite Industries LLC,1999,Manufacturing,"304 Oak St, City 85914",1
COMP_0034,Summit Labs Ltd.,2018,Energy,"59 Main St, Village 72493",0
COMP_0035,Nexus Labs Inc.,1996,Consulting,"83 Oak St, City 87992",0
COMP_0036,Global Group LLC,1998,Security Services,"253 Central St, Village 15209",1
